lr,batch_size,hidden_sizes,epochs,mse,r2
0.001,32,"(1024, 512, 256, 128, 64, 32, 16, 8)",300,61.0343,-0.057
0.001,32,"(1024, 512, 256, 128, 64, 32, 16, 8)",400,58.3641,-0.0107
0.001,32,"(1024, 512, 256, 128, 64, 32, 16, 8)",500,63.186,-0.0942
0.001,32,"(512, 256, 128, 64, 32, 16, 8)",100,59.246,-0.026
0.001,32,"(512, 256, 128, 64, 32, 16, 8)",200,64.5096,-0.1171
0.001,32,"(512, 256, 128, 64, 32, 16, 8)",300,75.0817,-0.3002
0.001,32,"(512, 256, 128, 64, 32, 16, 8)",400,83.4473,-0.4451
0.001,32,"(512, 256, 128, 64, 32, 16, 8)",500,70.0885,-0.2138
0.001,32,"(256, 128, 64, 32, 16, 8)",100,60.4437,-0.0467
0.001,32,"(256, 128, 64, 32, 16, 8)",200,58.6626,-0.0159
0.001,32,"(256, 128, 64, 32, 16, 8)",300,62.9816,-0.0907
0.001,32,"(256, 128, 64, 32, 16, 8)",400,58.6752,-0.0161
0.001,32,"(256, 128, 64, 32, 16, 8)",500,63.5122,-0.0999
0.001,32,"(128, 64, 32, 16, 8)",100,60.0211,-0.0394
0.001,32,"(128, 64, 32, 16, 8)",200,58.6248,-0.0152
0.001,32,"(128, 64, 32, 16, 8)",300,59.472,-0.0299
0.001,32,"(128, 64, 32, 16, 8)",400,64.5947,-0.1186
0.001,32,"(128, 64, 32, 16, 8)",500,60.434,-0.0466
0.001,32,"(64, 32, 16, 8)",100,61.66,-0.0678
0.001,32,"(64, 32, 16, 8)",200,65.5481,-0.1351
0.001,32,"(64, 32, 16, 8)",300,55.7932,0.0338
0.001,32,"(64, 32, 16, 8)",400,66.8454,-0.1576
0.001,32,"(64, 32, 16, 8)",500,62.321,-0.0792
0.001,32,"(32, 16, 8)",100,60.0771,-0.0404
0.001,32,"(32, 16, 8)",200,60.2215,-0.0429
0.001,32,"(32, 16, 8)",300,61.7388,-0.0692
0.001,32,"(32, 16, 8)",400,62.5279,-0.0828
0.001,32,"(32, 16, 8)",500,63.9571,-0.1076
0.001,32,"(16, 8)",100,58.2419,-0.0086
0.001,32,"(16, 8)",200,59.5536,-0.0313
0.001,32,"(16, 8)",300,60.1656,-0.0419
0.001,32,"(16, 8)",400,60.1393,-0.0415
0.001,32,"(16, 8)",500,62.1102,-0.0756
0.001,32,"(256, 128, 128, 64, 64, 16, 8)",100,66.3613,-0.1492
0.001,32,"(256, 128, 128, 64, 64, 16, 8)",200,70.1524,-0.2149
0.001,32,"(256, 128, 128, 64, 64, 16, 8)",300,66.471,-0.1511
0.001,32,"(256, 128, 128, 64, 64, 16, 8)",400,69.001,-0.1949
0.001,32,"(256, 128, 128, 64, 64, 16, 8)",500,70.4968,-0.2208
0.001,32,"(512, 256, 256, 128, 32, 32, 8)",100,66.019,-0.1433
0.001,32,"(512, 256, 256, 128, 32, 32, 8)",200,65.0768,-0.127
0.001,32,"(512, 256, 256, 128, 32, 32, 8)",300,63.3602,-0.0972
0.001,32,"(512, 256, 256, 128, 32, 32, 8)",400,71.7005,-0.2417
0.001,32,"(512, 256, 256, 128, 32, 32, 8)",500,73.157,-0.2669
0.001,32,"(256, 128, 64, 64, 32, 8, 8)",100,61.0551,-0.0573
0.001,32,"(256, 128, 64, 64, 32, 8, 8)",200,67.8208,-0.1745
0.001,32,"(256, 128, 64, 64, 32, 8, 8)",300,63.7118,-0.1033
0.001,32,"(256, 128, 64, 64, 32, 8, 8)",400,65.1442,-0.1281
0.001,32,"(256, 128, 64, 64, 32, 8, 8)",500,54.4096,0.0578
0.001,32,"(256, 128, 128, 64, 64, 32, 8)",100,58.5926,-0.0147
0.001,32,"(256, 128, 128, 64, 64, 32, 8)",200,68.233,-0.1816
0.001,32,"(256, 128, 128, 64, 64, 32, 8)",300,58.0566,-0.0054
0.001,32,"(256, 128, 128, 64, 64, 32, 8)",400,77.055,-0.3344
0.001,32,"(256, 128, 128, 64, 64, 32, 8)",500,64.7445,-0.1212
0.001,32,"(64, 32, 32, 16, 8)",100,63.8152,-0.1051
0.001,32,"(64, 32, 32, 16, 8)",200,63.7189,-0.1035
0.001,32,"(64, 32, 32, 16, 8)",300,57.8005,-0.001
0.001,32,"(64, 32, 32, 16, 8)",400,62.1189,-0.0757
0.001,32,"(64, 32, 32, 16, 8)",500,64.5826,-0.1184
0.001,32,"(32, 32, 16, 8)",100,63.5696,-0.1009
0.001,32,"(32, 32, 16, 8)",200,66.3352,-0.1488
0.001,32,"(32, 32, 16, 8)",300,58.0467,-0.0052
0.001,32,"(32, 32, 16, 8)",400,63.786,-0.1046
0.001,32,"(32, 32, 16, 8)",500,60.8861,-0.0544
0.0001,8,"(1024, 512, 256, 128, 64, 32, 16, 8)",100,62.2742,-0.0784
0.0001,8,"(1024, 512, 256, 128, 64, 32, 16, 8)",200,63.7773,-0.1045
0.0001,8,"(1024, 512, 256, 128, 64, 32, 16, 8)",300,65.896,-0.1412
0.0001,8,"(1024, 512, 256, 128, 64, 32, 16, 8)",400,61.795,-0.0701
0.0001,8,"(1024, 512, 256, 128, 64, 32, 16, 8)",500,62.8625,-0.0886
0.0001,8,"(512, 256, 128, 64, 32, 16, 8)",100,61.258,-0.0608
0.0001,8,"(512, 256, 128, 64, 32, 16, 8)",200,61.2211,-0.0602
0.0001,8,"(512, 256, 128, 64, 32, 16, 8)",300,67.0363,-0.1609
0.0001,8,"(512, 256, 128, 64, 32, 16, 8)",400,63.1047,-0.0928
0.0001,8,"(512, 256, 128, 64, 32, 16, 8)",500,63.2533,-0.0954
0.0001,8,"(256, 128, 64, 32, 16, 8)",100,61.001,-0.0564
0.0001,8,"(256, 128, 64, 32, 16, 8)",200,63.591,-0.1012
0.0001,8,"(256, 128, 64, 32, 16, 8)",300,60.0119,-0.0393
0.0001,8,"(256, 128, 64, 32, 16, 8)",400,65.9132,-0.1415
0.0001,8,"(256, 128, 64, 32, 16, 8)",500,60.2301,-0.043
0.0001,8,"(128, 64, 32, 16, 8)",100,59.5015,-0.0304
0.0001,8,"(128, 64, 32, 16, 8)",200,61.0372,-0.057
0.0001,8,"(128, 64, 32, 16, 8)",300,61.019,-0.0567
0.0001,8,"(128, 64, 32, 16, 8)",400,62.7482,-0.0866
0.0001,8,"(128, 64, 32, 16, 8)",500,61.6608,-0.0678
0.0001,8,"(64, 32, 16, 8)",100,57.8017,-0.001
0.0001,8,"(64, 32, 16, 8)",200,59.254,-0.0261
0.0001,8,"(64, 32, 16, 8)",300,61.1209,-0.0585
0.0001,8,"(64, 32, 16, 8)",400,59.3512,-0.0278
0.0001,8,"(64, 32, 16, 8)",500,61.1821,-0.0595
0.0001,8,"(32, 16, 8)",100,58.0342,-0.005
0.0001,8,"(32, 16, 8)",200,57.6413,0.0018
0.0001,8,"(32, 16, 8)",300,58.9901,-0.0216
0.0001,8,"(32, 16, 8)",400,59.9694,-0.0385
0.0001,8,"(32, 16, 8)",500,60.6014,-0.0495
0.0001,8,"(16, 8)",100,57.4573,0.005
0.0001,8,"(16, 8)",200,57.7389,0.0001
0.0001,8,"(16, 8)",300,58.1061,-0.0063
0.0001,8,"(16, 8)",400,58.6116,-0.015
0.0001,8,"(16, 8)",500,58.807,-0.0184
0.0001,8,"(256, 128, 128, 64, 64, 16, 8)",100,62.7988,-0.0875
0.0001,8,"(256, 128, 128, 64, 64, 16, 8)",200,62.9711,-0.0905
0.0001,8,"(256, 128, 128, 64, 64, 16, 8)",300,59.37,-0.0281
0.0001,8,"(256, 128, 128, 64, 64, 16, 8)",400,54.7221,0.0523
